DocumentName,ReportDT,JurisdictionName,OccurDt,FraudEntity,State_County,PayerName,FraudAmt,SettlementAmt,JailTime,FraudType,FraudTypeAll,CaseStatus,SchemeSummary
2026-national-health-care-fraud-takedown_75fa07f25008.pdf,2026-06-23,"U.S. Attorney's Office, District of Puerto Rico",,Josué Saez Rodríguez (seller/distributor of unauthorized drug products); Chancey Irmaries Olmed Pérez (seller/distributor of unauthorized drug products); Carlos Andrés Rendón Bermúdez (performed dental procedures without a dental license); Jandiel Santos Rodríguez (Rendón Bermúdez's Puerto Rico representative/appointment coordinator),Puerto Rico - Comerío; Puerto Rico - San Lorenzo; Ohio - Franklin County (Columbus),,,,,FakeEncounter,FakeEncounter; other,charged,"Two separate indictments in Puerto Rico: Saez Rodríguez and Olmed Pérez allegedly advertised, sold and distributed drug products they were not authorized to possess or distribute (Semaglutide, Mounjaro, Tirzepatide and steroids), charged with wire fraud conspiracy and drug misbranding; separately, Rendón Bermúdez allegedly performed dental work (braces, whitening, cleanings, veneers, cavity work, tooth grinding, anesthesia, antibiotic prescriptions) without a dental license while Santos Rodríguez advertised the services on social media, booked appointments and falsely represented him as a licensed dentist."
3-85-million-settlement-of-case-against-labor-unions-for-improper-receipt-of-paycheck-protection-program-ppp-l_9d67a410c1ce.pdf,2026-07-27,"U.S. Attorney's Office, Southern District of New York",2020-04 to 2020-04,"International Union of Journeymen and Allied Trades (IUJAT) (labor union); United Service Workers Union, IUJAT National Union (USWU) (labor union); Home Healthcare Workers of America, IUJAT (HHWA) (labor union); Service Professionals Union Local 726 IUJAT (LOCAL 726) (labor union); United Welfare Fund - Welfare Division (UWF) (employee benefit plan)",New York - New York County (Manhattan),U.S. Small Business Administration (Paycheck Protection Program),3316966.0,3850000.0,,Falsify certificate,Falsify certificate; Ineligible borrower/program enrollment,civil settlement,"Between April 16 and April 20, 2020, four labor unions and an affiliated employee welfare benefit plan each submitted PPP loan applications falsely certifying eligibility under SBA rules, though as 501(c)(5) non-profits they were ineligible; they received $3,316,966 in total and obtained full loan forgiveness, despite prior warnings from an SBA regional employee and the AFL-CIO that unions were not eligible. The defendants collectively agreed to pay $3,850,000 to resolve False Claims Act allegations arising from a sealed qui tam suit joined by the government."
8-arrested-in-health-care-fraud-takedown-including-owners-of-hospices-that-billed-taxpayers-millions-of-dollar_bcae7a7bcc80.pdf,2026-04-02,"U.S. Attorney's Office, Central District of California",2010-01 to 2025-09,"Lolita Beronilla Minerd, a.k.a. Lolita Beronilla Rice (licensed vocational nurse, owner/operator of Topanga Hospice Care Inc.); Gladwin Gill (purported psychologist, co-owner of 626 Hospice Inc. dba St. Francis Palliative Care); Amelou Gill (registered nurse, co-owner of 626 Hospice Inc.); Nita Almuete Paddit Palma (excluded de facto owner of One Up Hospice Care Inc., Rosewood Hospice and Palliative Care Inc., Advance Hospice and Palliative Care Inc.); Adolfo Cezar Catbagan (nominal owner/CEO of the three hospices); Evelyn Tindimubona (licensed vocational nurse, operator of Comfort Choice Hospice Inc.); Ivan Verne Lauritzen (CEO/CFO of Valley Pacific Hospice Inc.); Tolu Aulava-Moala (director of Ohana Wellness Center, Ohana Management Corp., R3New Wellness, One Life Acupuncture APC); John Nicola (licensed chiropractor); Crysta Richter (owner of medical billing company); John Keohuloa; Gregory Cartmell (licensed chiropractor); Vincent Surace (co-conspirator chiropractor whose billing ID was used); Sonia Griffen (owner of Bee Well Holistic Wellness Center); Young Joo Ko","California - Los Angeles County (Los Angeles, Artesia, Glendale, Tarzana, Chatsworth, Covina, Carson, Torrance, El Segundo, Long Beach, Lakewood); California - Orange County (Anaheim, Huntington Beach); California - Ventura County (Simi Valley); Idaho - Coeur d'Alene",Medicare; International Longshore and Warehouse Union Pacific Maritime Association (ILWU-PMA) health plan; other private health insurers,50000000.0,,,FakeEncounter,FakeEncounter; Phantom Claims; kickback_Bribery For Referral; Falsify certificate; Ineligible provider enrollment; Money laundering of proceeds,charged,"Coordinated takedown of eight defendants across several related schemes totaling more than $50 million in intended losses: hospice operators (Minerd, $9.17M billed/$8.51M paid; the Gills, $5.2M billed/$4M paid; Palma and Catbagan, $4.8M billed/$4.2M paid; Tindimubona, $3.8M billed/$3.4M paid; Lauritzen, $580K billed/$526K paid) enrolled Medicare beneficiaries who were not terminally ill, paid cash kickbacks to beneficiaries and marketers for referrals, billed for services never provided or not medically necessary, used a nominee owner to hide an excluded operator, and forged a physician signature on Medicare enrollment forms; separately, chiropractic/physical-therapy defendants billed the ILWU-PMA union health plan and other private insurers for unneeded or non-existent services using fake chart notes and other providers' names and IDs to evade terminations (Aulava-Moala group $19M; Cartmell/Surace $9.14M billed/$6.43M paid; Griffen $4.9M billed/$2.5M paid), plus a defendant who fabricated immigration medical exam forms posing as a nurse or doctor."
addiction-recovery-care-and-affiliates-agree-to-pay-16-2-million-civil-judgment-to-resolve-medicaid-fraud-alle_eb4abafca949.pdf,2026-07-27,"U.S. Attorney's Office, Eastern District of Kentucky",2018-01 to 2024-12,"Addiction Recovery Care, LLC (drug rehabilitation provider); Pioneer Health Group, LLC (affiliate); Science Hill Family Care, LLC (affiliate)",Kentucky - statewide (headquartered in Louisa),Kentucky Medicaid,,16205774.0,,Upcoding,Upcoding; Falsify certificate; Unbundling,civil settlement,"ARC and affiliates allegedly billed Kentucky Medicaid for behavioral health services (psychotherapy, psychiatric evaluations, mental health assessments) delivered by lower-level workers but coded as if furnished by higher-licensed clinicians, and billed group therapy as higher-paying individual therapy; affiliates also billed duplicate office visits, visits already covered by an inclusive per diem rate, and care management services by uncredentialed staff. Resolved by a $16,205,774.05 civil judgment following a 2023 qui tam suit by employees."
adult-day-care-owner-pleads-guilty-to-500-000-medicare-fraud-scheme_903a3e60e0ce.pdf,2026-07-27,"U.S. Department of Justice, Criminal Division, Fraud Section",,Yolanda Matthews (owner of adult day care center),Michigan - Oakland County (Farmington Hills),Medicare,539000.0,,,Phantom Claims,Phantom Claims; Falsify certificate,pleaded guilty,"Owner of an adult day care center billed Medicare over $539,000 for psychotherapy services never provided, including claims for beneficiaries who were hospitalized elsewhere or already deceased, and forged claims in the names of social workers no longer employed there."
adult-day-care-provider-accused-of-1-47-million-missouri-medicaid-fraud_8655e38a91b2.pdf,2026-07-30,"U.S. Attorney's Office, Eastern District of Missouri",2021-02 to 2026-03,Tony King (operator of Agape Love Adult Day Care LLC); Agape Love Adult Day Care LLC,Missouri - St. Louis County,Missouri Medicaid (Adult Day Care Waiver program),1470000.0,,,Phantom Claims,Phantom Claims; Upcoding,charged,"King allegedly billed Missouri Medicaid's Adult Day Care Waiver program for 10 hours of daily care when Agape Love Adult Day Care provided only about half that, and submitted claims for day care services for patients who were absent or hospitalized, totaling $1.47 million in false claims."
advanced-urology-and-jitesh-patel-will-pay-14-million-to-settle-false-claims-act-case-involving-allegations-of_c77373e0fcc8.pdf,2026-04-02,"U.S. Attorney's Office, Northern District of Georgia",,"Jitesh Patel, M.D. (physician/owner); Advanced Urology, Inc. and affiliated companies",Georgia,Medicare; Georgia Medicaid; TRICARE; Department of Veterans Affairs,,14000000.0,,FakeEncounter,FakeEncounter; Phantom Claims; Upcoding,civil settlement,"Whistleblowers alleged the urology practice maximized revenue by performing and billing federal health care programs for medically unnecessary procedures - permanent sacral nerve stimulator implants without trial testing, cystoscopy/retrograde pyelograms, electromyography on nearly every new patient, and thousands of ultrasounds - and by billing for Direct Visual Internal Urethrotomy procedures that were never performed when only a simpler urethral dilation was done. Settled for $14 million, of which relators receive $2,940,000."
aetna-agrees-to-pay-117-7-million-to-resolve-allegations-that-it-violated-the-false-claims-act-by-submitting-o_cd3e75ee062f.pdf,2026-03-10,"U.S. Attorney's Office, Eastern District of Pennsylvania",2015 to 2023,Aetna Inc. (Medicare Advantage Organization / national insurer),Pennsylvania - Philadelphia,Medicare (Medicare Advantage / Part C),,117700000.0,,Upcoding,Upcoding; Falsify certificate,civil settlement,"Aetna allegedly used a one-sided 'chart review' program for payment year 2015 to add unsupported risk-adjustment diagnosis codes to CMS for Medicare Advantage enrollees while declining to delete codes its own reviews failed to substantiate ($106.2M), and for payment years 2018-2023 submitted or failed to delete morbid-obesity diagnosis codes for beneficiaries whose recorded BMI did not support that diagnosis ($11.5M), inflating capitated risk-adjusted payments; resolved via a $117.7M FCA settlement including a $2,012,500 whistleblower share."
aetna-agrees-to-pay-117-7-million-to-resolve-false-claims-act-allegations_8b5b9585d934.pdf,2026-03-11,"U.S. Department of Justice — Civil Division; U.S. Attorney's Office, Eastern District of Pennsylvania",2015 to 2023,Aetna Inc. (Medicare Advantage Organization / national insurer),Pennsylvania,"Medicare (Medicare Advantage / Part C, CMS)",,117700000.0,,Upcoding,Upcoding; Falsify certificate,civil settlement,"Aetna allegedly submitted and failed to withdraw inaccurate, unsupported diagnosis codes for Medicare Advantage enrollees to inflate CMS risk-adjustment capitation payments: for payment year 2015 it used chart-review results only to add revenue-generating codes while ignoring chart reviews that failed to substantiate previously submitted codes (which would have required repayment), and for payment years 2018-2023 it submitted or retained morbid-obesity diagnosis codes for beneficiaries whose recorded BMI did not support the diagnosis, while falsely certifying the data's accuracy. Resolved via $117.7 million settlement, including a qui tam suit whose relator receives $2,012,500."
ahold-delhaize-usa-inc-to-pay-40m-for-allegedly-reporting-inflated-drug-prices-on-claims-to-federal-healthcare_1aa12107a07c.pdf,2026-06-10,"U.S. Department of Justice, Civil Division and U.S. Attorney's Office for the Western District of Pennsylvania",,"Ahold Delhaize USA Inc. (supermarket chain operator of in-store retail pharmacies, including Giant, Hannaford, Stop & Shop, and Food Lion)",Massachusetts - Quincy (headquarters); Pennsylvania (Western District),Medicare Part D; Medicaid (federal and participating state programs); TRICARE,,40000000.0,,Inflated usual and customary price reporting,Inflated usual and customary price reporting,civil settlement,"Ahold Delhaize's in-store pharmacies ran prescription savings programs giving enrolled members discounted drug prices, but allegedly did not report those discounted prices as their 'usual and customary' prices on claims to Medicare Part D, Medicaid and TRICARE; because U&C prices act as ceiling prices in the payment formulas, the programs paid inflated amounts. Resolved for $40 million ($32.9 million federal share) following a pharmacist's qui tam suit, with the relator receiving $6,083,587."
