DocumentName,ReportDT,JurisdictionName,OccurDt,FraudEntity,State_County,PayerName,FraudAmt,SettlementAmt,JailTime,FraudType,FraudTypeAll,CaseStatus,SchemeSummary
ceo-of-bay-area-home-health-agency-convicted-of-health-care-fraud-conspiracy-targeting-medicare_a0258572f2c4.pdf,7/23/26,"U.S. Attorney's Office, Northern District of California",2018-10 to 2020-11,Simon Katz; Veronica Katz (former CEO of HealthNow Home Healthcare); Vennesa Herrera (former employee); Pharadja Andrews (former employee); HealthNow Home Healthcare (home health agency),California - Alameda County (Hayward),Medicare,3000000,593634,24,FakeEncounter,FakeEncounter; Phantom Claims; Falsify certificate; other,convicted at trial,"HealthNow Home Healthcare used unqualified medical professionals to perform home health patient assessments outside their scope of practice, billed Medicare for services never provided, and altered medical records/forged physician signatures, plus submitted falsified documents to California Department of Public Health inspectors to keep Medicare billing privileges; the agency collected over $3 million and Simon Katz took $300,000, and he instructed an employee to lie to the FBI. Figures span co-defendants: Veronica Katz was sentenced to 24 months, $543,634.34 restitution and a $50,000 fine, while Simon Katz awaits sentencing after jury conviction."
former-sober-home-owner-and-operator-sentenced-for-kickback-conspiracy-and-health-care-fraud_d360d4832b94.pdf,4/24/26,"U.S. Attorney's Office, Eastern District of Kentucky",2019-08 to 2022-03,"Delores Jordan (owner of Serenity Keeper's, LLC); Ernest Williams (operator of sober homes); Serenity Keeper's, LLC (sober home company); Jerome Davis (co-defendant, owner of X-Tremly for Christ, LLC); Dashawn Dawkins (co-defendant); Lily Bell (kickback payer)",Kentucky - Fayette County (Lexington),Medicaid (Kentucky); Medicare,2569946,,60,kickback_Bribery For Referral,kickback_Bribery For Referral; FakeEncounter; Falsify certificate; Phantom Claims,sentenced,"Jordan, owner of a Fayette County sober home company, solicited and received kickbacks (checks, cash, ACH, and $5,000 'consulting' payments to co-defendant Davis's company) in exchange for referring residents' urine drug tests to three labs, causing Medicaid and Medicare to pay those labs about $2,569,946 for tests that were not ordered or reviewed by a medical provider. Serenity Keepers also billed Medicaid for six hours per day of peer support services that were not provided and were not delivered by licensed peer support specialists, with Williams receiving $365,374.72 as a percentage of amounts billed; Jordan got 60 months, Williams five years' probation, and Davis 12 months and a day."
home-health-care-operator-admits-defrauding-missouri-medicaid_3a443eafa6e2.pdf,3/20/26,"U.S. Attorney's Office, Eastern District of Missouri",2021 to 2022,Camille S. Childress (operator/owner of Inspiring Angels LLC); Inspiring Angels LLC,Missouri - St. Louis County,Missouri Medicaid,174496,174496,15,Phantom Claims,Phantom Claims; Falsify certificate; Ineligible provider enrollment,pleaded guilty,"Childress enrolled her home health company Inspiring Angels LLC in Missouri Medicaid using paperwork falsely naming another person as owner to conceal her ownership and a 2012 conviction, then billed Medicaid for in-home services never rendered, including for clients who were hospitalized and for visits with no timesheets or documentation, collecting at least $174,496 in 2021-2022. A related release notes she was later sentenced to 15 months and ordered to repay $174,496."
home-health-care-operator-sentenced-for-defrauding-missouri-medicaid_01d34517791b.pdf,7/21/26,"U.S. Attorney's Office, Eastern District of Missouri",2021 to 2022,Camille S. Childress (operator/owner of Inspiring Angels LLC); Inspiring Angels LLC (home health care company),Missouri - St. Louis,Medicaid (Missouri Medicaid),174496,174496,15,Phantom Claims,Phantom Claims; Falsify certificate; Ineligible provider enrollment,sentenced,"Childress enrolled her home health company with Missouri Medicaid using paperwork falsely naming another person as owner to hide her disqualifying 2012 conviction, then billed Missouri Medicaid $174,496 for home health services never provided, including for clients who were hospitalized and for visits with no timesheets or documentation."
local-home-healthcare-company-owner-admits-over-200-000-fraud_62eeef80cf7e.pdf,2/17/26,"U.S. Attorney's Office, Eastern District of Missouri",2020-06 to 2024-11,Natavia Boyd-Wells (owner of Touch of the Heart Home Health Care LLC); Touch of the Heart Home Health Care LLC,Missouri - St. Louis,Missouri Medicaid Program; U.S. Department of Veterans Affairs Community Care Network,209000,,,Phantom Claims,Phantom Claims; Falsify certificate,pleaded guilty,"Owner of a home health company submitted hundreds of claims to Missouri Medicaid and the VA Community Care Network for home healthcare services never provided, including on dates when veteran patients were hospitalized, and fabricated documentation in response to a Medicaid audit request; losses were at least $109,751 to Medicaid and $100,563 to the VA."
michigan-home-health-care-agency-owner-convicted-of-1-6m-medicare-fraud-scheme-and-kickback-conspiracy_aa10bdfe096a.pdf,5/15/26,"U.S. District Court for the Eastern District of Michigan; Justice Department Criminal Division, Fraud Section / National Fraud Enforcement Division",2018 to 2024,"Ruby Scott (nurse, owner of Delta Home Health Care LLC); Delta Home Health Care LLC",Michigan - Oakland County (Farmington Hills); Michigan - Wayne County (Detroit),Medicare,1600000,,,Falsify certificate,Falsify certificate; kickback_Bribery For Referral; Phantom Claims,convicted at trial,"Scott bribed a Detroit hospital discharge nurse (over $130,000, roughly $100-$300 per patient via CashApp, PayPal, check and cash) to fax confidential Medicare patient records to her home health agency, then billed Medicare for home health services using those stolen patient profiles, falsely representing that physicians had certified the patients as homebound and eligible when no doctor had evaluated them; some patients never received services and files were missing for over a third of billed patients, causing about $1.6 million in Medicare losses."
philadelphia-in-home-care-services-provider-agrees-to-pay-1-million-to-resolve-allegations-of-false-claims-act_08acfb6ec1b7.pdf,8/4/26,"U.S. Attorney's Office, Eastern District of Pennsylvania",2015-01 to 2023-12,Blessings 4 Ever Home Care Agency LLC (in-home care provider); V&V Management Solutions LLC (related management company),Pennsylvania - Philadelphia County (Philadelphia),Medicaid (Pennsylvania Medicaid Program),,1000000,,Falsify certificate,Falsify certificate; Phantom Claims,civil settlement,"Home care agency allegedly fabricated or backdated 181 training certificates and personnel documents so personal care attendants appeared to meet state/Medicaid training requirements, then billed Pennsylvania Medicaid for their services (Jan 2015-Dec 2018); it also billed 1,141 claims for in-home personal care for 209 beneficiaries on days those beneficiaries were hospital inpatients all day (June 2020-Dec 2023). Resolved for $1 million in a qui tam action, with the relator receiving 21% of the federal recovery."
queens-home-care-agency-and-home-health-aide-training-center-to-pay-2-3-million-to-settle-claims-that-they-def_3e5bcfb7e565.pdf,5/19/26,"U.S. Attorney's Office, Eastern District of New York",,"Kris Agency & Home Care, Inc. (Queens home care agency); Career Development Center of Queens, Inc. (home health aide training center)",New York - Queens County,,1800000,2347133,,Falsify certificate,Falsify certificate; other,civil settlement,"A Queens home care agency and an affiliated home health aide training center applied for two pandemic-era second-draw PPP loans, falsely certifying that they and their affiliates had fewer than 300 employees and failing to disclose their affiliation with each other, thereby obtaining over $1.8 million in loans and subsequent loan forgiveness; resolved via a $2,347,133.10 False Claims Act qui tam settlement."
st-louis-county-home-healthcare-company-owner-associates-accused-of-1-46-million-fraud_b7fd6865df0e.pdf,2/17/26,"U.S. Attorney's Office, Eastern District of Missouri",2020-07 to 2026-02,Daniell Green (owner and operator of A&L Angels Home Healthcare Services LLC); Dejuan Bingham; Kimberly Diazascencio; Thomas Keith; A&L Angels Home Healthcare Services LLC,Missouri - St. Louis County (Bridgeton),Medicaid (Missouri Medicaid Program),1460000,,,Phantom Claims,Phantom Claims; Falsify certificate; FakeEncounter,charged,"Owner of a Bridgeton home health company and her associates allegedly created false timesheets showing home health services never provided, including on dates patients were hospitalized or when listed workers were employed elsewhere, and recruited Medicaid patients to lend their names to fraudulent claims; Green also allegedly submitted a false Medicaid participation agreement claiming providers were in the Family Care Safety Registry and background-checked, concealing Bingham's felony conviction. Proceeds funded vacations, furniture and luxury goods."
traditions-health-agrees-to-pay-34m-to-resolve-false-claims-act-liability-relating-to-home-health-services-fol_8801c4f3369c.pdf,1/22/26,"U.S. Department of Justice, Civil Division and U.S. Attorney's Office for the Eastern District of Oklahoma",2019 to 2024,Traditions Health LLC (home health provider),Oklahoma - Pittsburg County (McAlester); Texas,Medicare,,34000000,,FakeEncounter,FakeEncounter; kickback_Bribery For Referral,civil settlement,"Traditions self-disclosed that its McAlester, Oklahoma location billed Medicare for home health services that were not medically necessary (2021-2024), and that from 2019-2024 it paid remuneration to physician-medical directors in Oklahoma and Texas who referred Medicare beneficiaries for home health services, implicating the Anti-Kickback Statute and Stark Law."
