source,year,documents,html_files,pdf_files,other_files,attachment_files,bytes
CMS,2021,1,1,1,0,0,177877
CMS,2023,1,1,1,0,0,215078
CMS,2024,1,1,1,0,0,189068
CMS,2025,1,1,1,0,0,225533
CMS,2026,5,5,5,0,0,898088
CMS,undated,5,5,5,0,5,2485606
DOJ,2021,805,805,805,0,98,379576312
DOJ,2022,834,834,834,0,107,397712383
DOJ,2023,807,807,807,0,94,392897466
DOJ,2024,810,810,810,0,87,349701775
DOJ,2025,679,679,679,0,112,435472573
DOJ,2026,463,463,463,0,42,235522215
DOJ,undated,3,3,3,0,0,1363004
FBI,2021,24,24,24,0,3,13131176
FBI,2022,37,37,37,0,0,15724882
FBI,2023,38,38,38,0,0,16249657
FBI,2024,43,43,43,0,2,20167409
FBI,2025,45,45,45,0,1,20725447
FBI,2026,44,44,44,0,1,32976332
FBI,undated,4,4,4,0,4,8567492
GAO,2025,3,3,3,0,7,11260703
GAO,2026,9,9,9,0,23,49820307
GAO,undated,2,2,2,0,1,2469175
HHS-OIG,2021,869,869,869,0,367,422974719
HHS-OIG,2022,845,845,845,0,266,381024321
HHS-OIG,2023,929,929,929,0,260,300955668
HHS-OIG,2024,914,914,914,0,281,393782997
HHS-OIG,2025,983,983,983,0,311,395339335
HHS-OIG,2026,530,530,530,0,143,222970788
HHS-OIG,undated,7,6,6,1,22,39237027
